1,La Union,19904,4015
2,Covial,16350,1409
3,Deco Sur ,23618,6280
4,7 De Mayo ,23168,2263
5,Artes Graficas El Sol ,23797,"Av. Amancio ,Alcorta 2190"
6,Libra ,24950,5353
7,Obrera Maximo Paz ,20223,No saben si estan registrados en provincia
8,Coop. De Tarabjo Olavarria ,23624,10375
9,11 De Noviembre  ,24145,53304
10,Ferrograf ,10416,5639
11,Papelera Platense,22951,4858
12,Mecber ,23414,4950
13,Las Diagonales ,11384,8136
14,Cooptem ,22357,4739
15,C.I.T.A ,2596,265
16,Cristal De Avellaneda ,21608,4504
17,La Maqueta ,31388,7255
18,Contex ,20009,4072
19,Los Tilos ,23642,16921
20,Pipinas Vivas ,26656,5692
21,Molinera De Saladillo ,24224,5126
22,Gecoop ,32127,No tienen que tener porque son de Capital
23,Copertei ,13995,51
24,La Esperanza ,B,La van a buscar.
25,Coop De Trabajo Galaxia ,24013,5160
26, Grafica Talleres Argentinos ,3984,
27,Taller Naval ,13912,180
28,Talleres Universales ,5360,Deberian tener.
29,Crometal ,23709,5075
30,7 De Septiembre ,31140,Debberian tener.
31,El Amanecer ,27732,6070
,Filial Rio Negro- Neuquen,,
32,De Salud Ados ,25290,
33,Esfuerzo Unido Valentina Sur ,14296,
34,4 De Abril ,36386,
35,Premium ,24736,
36,Arroyito ,31662,
37,Cirrus ,39600,
38,Gps ,En tramite ,
39,Lavados ,En tramite ,
40,La Internacional ,En tramite ,
41,Pehuén ,,
42,Coop. Agrícola Y De Trabajo Río Limay ,35471,
43,Septiembre Textil ,36384,
44,Surcos ,32795,
45,Elisur ,39280,
46,Pehumayén ,37693,
47,Solvetcon ,37157,
48,La Esquina ,24902,1214
49,Cooptrar,14564,634
50,Bolsas De Tucuman,29367,1474
51,Textil Escalada,33858,1910
52,1.816,29945,1522
53,colastal,29918,1515
54,cotrades,13040,
55,generar,38498,2226
56,musicarte ,38657,En tramite.
57,ladrilleria Las Talitas ,37714,2219
58,el Estribo ,35613,1946
59,genesis ,21875,1040
60,construcop ,29917,1516
61,aguas Del Valle,29020,1457
62,la Favorina ,32356,1859
63,trabajadores Unidos ,6433,119
64,soluciones Para Los Litigios ,En tramite.,En tramite.
65,c.A.L. 306 ,En tramite.,En tramite.
66,union De Trabajo ,27048,1357
67,Gcoop,123123123,123123
